copper pending field work needed,copper pending line plant access issue,copper pending routing issue,dslam capacity issue,fault in network,fibre completed copper pending,order cancelled,order completed in field,reappointment needed eu not present,reappointment needed out of time,sales query,Notes,Keywords/Phrases,Sentences
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet manually entered closure notes,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet manually entered closure notes unable access companyname line plant located within end customer premises
0,0,0,0,0,0,0,1,0,0,0,ends tests pass router set device connected demo eu circuit id tfgh job f k line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,tests pass router set device connected gea service test completed fault found,ends tests pass router set device connected demo eu circuit id tfgh job f k line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit tests pass router set device connected gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,steven lamb results line test taken prior breaking circuit tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end stcb jumpering comp modem synced line tested raised damaged idc topless strip damaged dside results tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test complete,gea service test completed fault found,steven lamb results line test taken prior breaking circuit tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end stcb jumpering comp modem synced line tested raised damaged idc topless strip damaged dside results tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test complete gea service test completed fault found
0,0,0,1,0,0,0,0,0,0,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed sure passing dcoe resolved please see additional information fast test complete ltok fibre ports specified job yet exist stcb ports go proved dcofe put cpi closest working port lums case raised number lums afti manager aware,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed sure passing dcoe resolved please see additional information fast test complete ltok fibre ports specified job yet exist stcb ports go proved dcofe put cpi closest working port lums case raised number lums afti manager aware allocated ports unavailable faulty
0,0,1,0,0,0,0,0,0,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information line fed stcb stcb tried talk dcoe could understand single word man offshore call centre saying,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information line fed stcb stcb tried talk dcoe could understand single word man offshore call centre saying routing provided incorrect
0,0,0,0,0,0,0,0,0,1,0,ends cannot complete task run time within scheduled hours end customer use service work outstanding stcb jumpering done cpi stcb dial tone ports manually entered closure notes xxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxx primary contact xxxxxxxxxxxxxxx outcome call answer vm left available call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information eq node id eq node e side termination stcb node side termination stcb node id stcb node e side termination mdf node side sub node e aj termination new routing fibre ordered stcb needs stcb,run time within scheduled hours,ends cannot complete task run time within scheduled hours end customer use service work outstanding stcb jumpering done cpi stcb dial tone ports manually entered closure notes xxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxx primary contact xxxxxxxxxxxxxxx outcome call answer vm left available call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information eq node id eq node e side termination stcb node side termination stcb node id stcb node e side termination mdf node side sub node e aj termination new routing fibre ordered stcb needs stcb run time within scheduled hours
0,0,0,0,0,1,0,0,0,0,0,end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found,gea service test completed fault found,end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found gea service test completed fault found
0,0,1,0,0,0,0,0,0,0,0,gareth bowe ran first test tfgh mfl ok ltok sockets unplugged end tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end,stcb jumpering tie pair problem found stcb,gareth bowe ran first test tfgh mfl ok ltok sockets unplugged end tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end stcb jumpering tie pair problem found stcb
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information order needs delayed planned solution required resolve issue network property linked provision furthered planning cr submitted customer aware,unable access openreach line plant located within openreach network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information order needs delayed planned solution required resolve issue network property linked provision furthered planning cr submitted customer aware unable access openreach line plant located within openreach network
0,0,0,0,0,0,0,0,1,0,0,ends photographic evidence available cannot complete task end customer representative present premises work commenced please see additional information attempted ring eu prior arrival answer arrived onsite knocked door answer attempted ring eu answer message posted door advise visit call back soon possible task held end day furthered responded back regards install om aware,cannot complete task end customer representative present premises,ends photographic evidence available cannot complete task end customer representative present premises work commenced please see additional information attempted ring eu prior arrival answer arrived onsite knocked door answer attempted ring eu answer message posted door advise visit call back soon possible task held end day furthered responded back regards install om aware cannot complete task end customer representative present premises
