copper pending line plant access issue,copper pending routing issue,dslam capacity issue,fibre completed copper pending,Notes,Keywords/Phrases,Sentences
0,0,0,1,synced mins tests ok e side circuit test results n ogecr mfl ok gea service test completed fault found mbit mbit sync end circuit test results n ogecr mfl ok gea service test completed fault found mbit mbit sync end speed n ogecr mfl ok gea service test completed fault found speed n ogecr mfl ok gea service test completed fault found,gea service test completed fault found,synced mins tests ok e side circuit test results n ogecr mfl ok gea service test completed fault found mbit mbit sync end circuit test results n ogecr mfl ok gea service test completed fault found mbit mbit sync end speed n ogecr mfl ok gea service test completed fault found speed n ogecr mfl ok gea service test completed fault found gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information answer ring ahead arrived front door flats answer buzzer unable access start work,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information answer ring ahead arrived front door flats answer buzzer unable access start work unable access companyname line plant located within end customer premises
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end glen fibre routed fault found dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end glen fibre routed fault found dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes brian beck work complete stcb jumper eside dside tagged stcb copper task access line test ok tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes brian beck work complete stcb jumper eside dside tagged stcb copper task access line test ok tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,0,1,completed jumpering cab checked sync dial tone dslam ok tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected circuit test results na circuit test results na speed speed,gea service test completed fault found,completed jumpering cab checked sync dial tone dslam ok tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected circuit test results na circuit test results na speed speed gea service test completed fault found
1,0,0,0,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information install task still outstanding unable access companyname line plant,unable access openreach line plant located within openreach network,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information install task still outstanding unable access companyname line plant unable access openreach line plant located within openreach network
0,1,0,0,ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxx primary contact xxxxxxxxxxxxxxx outcome call able ring ahead due unusable contact details missing incorrect faulty line call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information job built wrong stcb dslam found correct routing spoke routing records get updated furthering job back rebuilt using correct routing dslam,routing provided incorrect,ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxx primary contact xxxxxxxxxxxxxxx outcome call able ring ahead due unusable contact details missing incorrect faulty line call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information job built wrong stcb dslam found correct routing spoke routing records get updated furthering job back rebuilt using correct routing dslam routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information need access prove good line nte detected testing property answer contact number appointment required,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information need access prove good line nte detected testing property answer contact number appointment required unable access companyname line plant located within end customer premises
0,0,0,1,jumpering complete per task tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results na circuit test results na speed speed,gea service test completed fault found,jumpering complete per task tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results na circuit test results na speed speed gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information nd access get property,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information nd access get property unable access companyname line plant located within end customer premises
