Notes,Keywords/Phrases,Category
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference httpsna i cannot complete this task because further work is required by the dig and aux control team for duct work or a new lead in an cr has been submitted the cr reference is na please see additional information cr sent for pr cable length renewal for ssr no option on drop down menu only did aux triage please note ,further work is required by the dig and aux control team for duct work,copper pending field work needed
ends install sent back to planning as unable to get height clearance over neighbouring houses roofs ,install sent back to planning as unable to get height clearance,copper pending field work needed
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference httpsna i cannot complete this task because further work is required by the dig and aux control team for duct work or a new lead in an cr has been submitted the cr reference is na please see additional information please link to install ymr mr as this is with civils for duct work ,further work is required by the dig and aux control team for duct work,copper pending field work needed
ends fibre jumpering complete sync speeds at stcb as required provision is being sent back for track and locate as eu has no lead in test results dn tfgh result ltok customer equipment detected date today jin k eng pin emjxg eng uin xxxxxxxxx,result ltok customer equipment detected,copper pending field work needed
ends i cannot complete this task because traffic management is required installation is complete and no appointment required an cr has not been submitted because ongoing eside issues please see additional information ongoing eside issues from stcb no available spares left this has to be sent for eside team to resolve do not send back out until eside issues have been sorted ,traffic management is required,copper pending field work needed
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference https i cannot complete this task because further work is required by the dig and aux control team for duct work or a new lead in an cr has been submitted the cr reference is please see additional information new lead in required link with install ,further work is required by the dig and aux control team for duct work,copper pending field work needed
ends please note jdsu in sync at stcb as cr submitted for new lead in so customer won t have router fitted on completion of this task will test dis ,jdsu in sync at stcb as cr submitted for new lead in so customer won t have router fitted on completion of this task will test dis ,copper pending field work needed
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference httpsna i cannot complete this task because further work is required by the dig and aux control team for duct work or a new lead in an cr has been submitted the cr reference is na no manually entered closure notes ,further work is required by the dig and aux control team for duct work,copper pending field work needed
ends customer survey available hoist used to access d pole feeding property new line provided from nd pair on dropwire and new lead in provided socket installed pqt passed router in sync dial tone present test results dn tfgh result ltok customer equipment detected date today jin o eng pin emcys eng uin xxxxxxxxx,result ltok customer equipment detected,copper pending field work needed
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is d side no manually entered closure notes zzzzzzzzzzzzzz ring ahead information primary eu contact name xxxxxxxxxxxx primary contact no xxxxxxxxxxxxxxxx what was the outcome of the call no answer vm left if available call date time secondary contact details what was the outcome of the call to secondary contact no not able to ring ahead due to unusable contact details missing incorrect faulty line ring ahead information ends i cannot complete this task because i have run out of time within my scheduled hours the end customer cannot use the service the work outstanding is ariel cable complete xxxxxxxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxxxx primary contact no xxxxxxxxxxxxxx what was the outcome of the call no answer vm left if available call date time secondary contact details what was the outcome of the call to secondary contact no not able to ring ahead due to unusable contact details missing incorrect faulty line ring ahead information ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference httpsna i cannot complete this task because further work is required by the dig and aux control team for a maintenance dig an cr has been submitted the cr reference is na please see additional information line is proven from nte through carrier pole to clip joint at eq and is tagged new lead in to replace drop wire and nte fitted line test ok and tagged in jb at base of pole new pair from jb to clip joint required cr input for dig to enable this as current feed looks to have a joint under the jb ,further work is required by the dig and aux control team have run out of time within my scheduled hours the end customer can use the service the work outstanding is d side ,copper pending field work needed
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference https m i cannot complete this task because traffic management is required installation is complete and no appointment required an cr has been submitted the cr reference is m please see additional information unable to gain access to pole safely without traffic management and hoist to prove location of battery fault pat fault raised and cr submitted , traffic management is required ,copper pending field work needed
